233-0001|We have now just talked about human AI interaction and,|We have now just talked about human AI interaction and,
233-0002|synergistically using the power of ay eye and machine learning and the power of humans to build systems that are collaborative.|synergistically using the power of ay eye and machine learning and the power of humans to build systems that are collaborative.
233-0003|But what this means is that we are going to move ay eye and deep learning research out of the benign environment of academic exercise.|But what this means is that we are going to move ay eye and deep learning research out of the benign environment of academic exercise.
233-0004|Making a transition into impacting people's lives with this type of Technology.|Making a transition into impacting people's lives with this type of Technology.
233-0005|How good is my algorithm going to compete against other methods on that specific tasks for example image classification?|How good is my algorithm going to compete against other methods on that specific tasks for example image classification?
233-0006|But now we are thinking about something that is a little bit different.|But now we are thinking about something that is a little bit different.
233-0007|Cause we are thinking about the question of how can I impact users.|Cause we are thinking about the question of how can I impact users
233-0008|How can I have an impact of benefit to society?|How can I have an impact of benefit to society?
233-0009|and to humankind in general|and to humankind in general
233-0010|when we think about this| when we think about this
233-0011|at least when some people think about this|at least when some people think about this
233-0012|Should we be afraid of something?|Should we be afraid of something?
233-0013|Yes, what should we be afraid of?|Yes, what should we be afraid of?
233-0014|Old sorcerer has vanished and for once has gone to waste|Old sorcerer has vanished and for once has gone to waste
233-0015|Spirits called by him now banished|Spirits called by him now banished
233-0016|Do you recognize this? This is from the sorcerer’s apprentice.|Do you recognize this? This is from the sorcerer’s apprentice.
233-0017|Not going to be more specific on how I think this relates to what we will be talking about| Not going to be more specific on how I think this relates to what we will be talking about
233-0018|But I hope that you will be able to make some connections.|But I hope that you will be able to make some connections.
233-0019|Here are a quick overview of the overarching problems that we need to be thinking about.|Here are a quick overview of the overarching problems that we need to be thinking about.
233-0020|We are going to use and develop ay eye and deep learning systems that affect people's lives.|We are going to use and develop ay eye and deep learning systems that affect people's lives.
233-0021|The first challenge that we need to think about are problem formulation.|The first challenge that we need to think about are problem formulation.
233-0022|We need to understand that algorithms particularly in an industry and commercialization setting are designed and deployed with certain goals in mind.|We need to understand that algorithms particularly in an industry and commercialization setting are designed and deployed with certain goals in mind.
233-0023|Companies may need to hit their production milestones. They need to have certain revenue goals. They have all sorts of different things.|Companies may need to hit their production milestones. They need to have certain revenue goals. They have all sorts of different things.
233-0024|And when they develop an algorithm when they then they when they decide to deploy deployed algorithm, they really deployed in order to achieve or make progress towards some of these goals.|And when they develop an algorithm when they then they when they decide to deploy deployed algorithm, they really deployed in order to achieve or make progress towards some of these goals.
233-0025|So the allegedly innocent accuracy that we usually report specificity or sensitivity or what have you can actually refer|So the allegedly innocent accuracy that we usually report specificity or sensitivity or what have you can actually refer
233-0026|To give you an example of what I mean when I say that is one example, consider a bank|To give you an example of what I mean when I say that is one example, consider a bank
233-0027|We would like to automate the process of assessing an applicant’s credit worthiness for a credit.|We would like to automate the process of assessing an applicant’s credit worthiness for a credit.
233-0028|Now the problem with credit worthiness is that it is a bit of a nebulous concept. It's a little unclear on what should go and what shouldn't go into a credit worthiness score.| Now the problem with credit worthiness is that it is a bit of a nebulous concept. It's a little unclear on what should go and what shouldn't go into a credit worthiness score.
233-0029|So in order to solve this problem one way of addressing this would be to redefine the problem that is actually|So in order to solve this problem one way of addressing this would be to redefine the problem that is actually
233-0030|Actually soft as a surrogate or as a proxy to come up with credit worthiness|Actually soft as a surrogate or as a proxy to come up with credit worthiness
233-0031|One way of doing this for example, would be to say. Eell. I want to define a metric the classifieds applicants for loans.|One way of doing this for example, would be to say. Eell. I want to define a metric the classifieds applicants for loans.
233-0032|Such that given a certain time span, I can maximize my profit margin.|Such that given a certain time span, I can maximize my profit margin.
233-0033|Or I can maximize the number of loans that are being repaid|Or I can maximize the number of loans that are being repaid
233-0034|Hmm and I don't have to foreclose for example house|Hmm and I don't have to foreclose for example house
233-0035|Right? This is something that can be optimized.|Right? This is something that can be optimized.
233-0036|But the problem is that if this optimization problems then it's solved completely in an unconstrained way.|But the problem is that if this optimization problems then it's solved completely in an unconstrained way.
233-0037|Then the algorithm may discover certain behavior. That for example is discriminatory or predatory.|Then the algorithm may discover certain behavior. That certain example is discriminatory or predatory.
